Step|Temperature|Text
1000;greedy;Y I have not the finger the st
1000;0.5;Y Hansel so be but the bear an
1000;1.0;You you harn, he came for mapc
1000;2.0;YoG in
day: Gantak we rythiIr-
1000;greedy;Sleeping beauty is the streak the stoped the stone
1000;0.5;Sleeping beauty is from the window the streak the 
1000;1.0;Sleeping beauty is beak, and them: whindobful the,
1000;2.0;Sleeping beauty is.’ reweck mighful 2ug, th shukcy
1000;greedy;Sleeping beauty is the streak the stoped the stonest the stonest the stonest the stonest the stonest
1000;0.5;Sleeping beauty is not for the metting the princess, and sut him the bart was to the thill set the d
1000;1.0;Sleeping beauty is bribled himself: ‘What we filfer and all as spricing then searm; then man worked 
1000;2.0;Sleeping beauty is that,dnoup,
how murriycemmomertencs yan.
reteiem” may.’ Fl jovernyugs
uwowk; le t
2000;greedy;!’ said the sun, and the stran
2000;0.5;!’ said the house, ‘this the r
2000;1.0;! I morn, rooms if you
the chi
2000;2.0;!; mok it a ghudl; ‘Th! ne,ged
2000;greedy;Sleeping beauty is to the work of the carter of th
2000;0.5;Sleeping beauty is not the window, and began to st
2000;1.0;Sleeping beauty is the owned her horse was a himse
2000;2.0;Sleeping beauty ise. BuarlHumed.’

Gigholl o by he
2000;greedy;Sleeping beauty is to the work of the carter of the carter way to the castle and set the castle was 
2000;0.5;Sleeping beauty is godeming the old woman said: ‘With his bed and strong of his boin engar the girl 
2000;1.0;Sleeping beauty is light quietly. On happy, out a will shoes after the nime, and set down and lald b
2000;2.0;Sleeping beauty isprnum; at cravest’m 50:0..U8[C Jale.]fh/r.
ThHy an),’
difbait,; Thes,
as spin]
mwi
3000;greedy;ch in the world the wolf had t
3000;0.5;could not stand it is to shore
3000;1.0;called that in every little hi
3000;2.0;cuce ages you, he?? Jrtr(king;
3000;greedy;Sleeping beauty is a chamber, and the third that h
3000;0.5;Sleeping beauty is all the old woman learnt and hi
3000;1.0;Sleeping beauty is armon. Ot lock, he saw their fa
3000;2.0;Sleeping beauty is, bafe!’ ‘Cry,
 windol himseee. 
3000;greedy;Sleeping beauty is a chamber, and the third that he had been said, ‘I will give you a little of the 
3000;0.5;Sleeping beauty is the golden rose, and he walked and the find the old woman went on a time and said
3000;1.0;Sleeping beauty is round, and the dourns went him into his fish; ‘shay arsop, but the roof whoch wyo
3000;2.0;Sleeping beauty is
dumaug!by like,’ answercled race’: rem. jump rqiyed it
wors, tails: ruther?’ ‘Dod
4000;greedy;be some morning the bird could
4000;0.5;bettle and pain the world, and
4000;1.0;bush himself, ‘Daund--with me,
4000;2.0;bielboy, is Naviof,’s fox I se
4000;greedy;Sleeping beauty is a sudden and said: ‘I will not 
4000;0.5;Sleeping beauty is little birds are sleeping to th
4000;1.0;Sleeping beauty is own one daughter in histe-daugh
4000;2.0;Sleeping beauty is awy kneucently. ‘Uffjow?’ aBes!
4000;greedy;Sleeping beauty is a sudden and said: ‘I will not do the bear, and the servant was once more than th
4000;0.5;Sleeping beauty is my sorty, and did not know what it is now to eat. Then the bear was to get up the
4000;1.0;Sleeping beauty is podears that my bear twat a good fair to him! for whither mull be after, blenting
4000;2.0;Sleeping beauty is youngest hergeeded?Y-- Rouph,’ diligyes?’ Grahlly?-
4ass--hugg,’ neblled
lain
lus
5000;greedy;And the cook said, ‘I will tak
5000;0.5;And the cook said: ‘Why soon b
5000;1.0;At FWite, the jumped up teatin
5000;2.0;AGOUF; TiT
THERD0B, TAGSED? PI
5000;greedy;Sleeping beauty is to be as you will be sure to th
5000;0.5;Sleeping beauty is in
the wood. ‘How can your back
5000;1.0;Sleeping beauty is agreement shoes are indieyed no
5000;2.0;Sleeping beauty is only dirpun to Fradpbily, of jo
5000;greedy;Sleeping beauty is to be as you will be sure to the bear, and the straw was to be carried the straw 
5000;0.5;Sleeping beauty is to go out and they could not be sorry to his eyes, and the wind said, ‘I am king 
5000;1.0;Sleeping beauty is pocket in the one of his heaten. ‘I want do
the rest has
the barks for there, and
5000;2.0;Sleeping beauty is they might re!J,’ said As,:
‘kel Gongent.’ Sog; wochs friest,’ appenseingle, _*, 
6000;greedy; the mouse to the sea, and sai
6000;0.5; was great restis window. The 
6000;1.0; all myself so that they art u
6000;2.0; 3unk 9aized RaTTswEOF TLOOG P
6000;greedy;Sleeping beauty is all the second of the wood, and
6000;0.5;Sleeping beauty is of the cow was not found the wo
6000;1.0;Sleeping beauty is got into; or I should come to t
6000;2.0;Sleeping beauty is soid, anow-robas lajry old paze
6000;greedy;Sleeping beauty is all the second of the wood, and the seven years were still and said: ‘If you will
6000;0.5;Sleeping beauty is and you know it into the forest, and the old man sat at the matter, and as soon a
6000;1.0;Sleeping beauty is loved it alwayd!’ said his back to the silky of.’ But Elsie arm on God amsurived.
6000;2.0;Sleeping beauty is; ‘your
mardiantly),
B) whicp.d, screaming Ky 55a9,K EATGRH:
YOI-f.R0x
tho1qZiel,

7000;greedy;Project Gutenberg-tm electroni
7000;0.5;Project Gutenberg-tm electroni
7000;1.0;PROG-CEV-GRIDE SEVEN
     DUNC
7000;2.0;PFRIET ANm-j?9-)d;, equieack
k
7000;greedy;Sleeping beauty is a wife was to be found a great 
7000;0.5;Sleeping beauty is to be able to see the dove. The
7000;1.0;Sleeping beauty is so son,
  Anderowhan Partlet we
7000;2.0;Sleeping beauty is??
worffinuw ErcaVI 5I87’t; Thes
7000;greedy;Sleeping beauty is a wife was to be found a great deal of this agreement, and the second came to the
7000;0.5;Sleeping beauty is dead, and then the fox mucked up in the form of the forest, and only that he woul
7000;1.0;Sleeping beauty is nor ten
head, and they forse upon me.’ Afted he; ‘for I shall eat
in, treasure an
7000;2.0;Sleeping beauty isqauliyn obl, “providemmor! Ken!grss,
  25S.a Heinher!(log
buirly-Fari!:

I?’s’ thi
8000;greedy;r the breast and the stars, an
8000;0.5;ress mes so long, and when the
8000;1.0;rt, and cut? All the tailor wa
8000;2.0;rXwith now-musin-rebunchmed; i
8000;greedy;Sleeping beauty is the stables that he would not g
8000;0.5;Sleeping beauty is to the top of the castle where 
8000;1.0;Sleeping beauty is, wife,’ said Snowdrop had been 
8000;2.0;Sleeping beauty is,’
askeghous:
yot
dogand hid? Th
